year,school,conference,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offence,ppg_defence,SRS,SOS,ap_pre,ap_high,ap_post,notes
2005,Michigan State,Big Ten,5,6,.455,2,6,.250,33.8,28.7,8.32,6.32,,11,,
2005,Indiana,Big Ten,4,7,.364,1,7,.125,22.5,32.8,-3.50,4.68,,,,
2005,Illinois,Big Ten,2,9,.182,0,8,.000,17.0,39.5,-7.54,7.37,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,UCF,CUSA (East),8,5,.615,7,1,.875,28.7,28.7,-3.60,-4.22,,,,
2005,Memphis,CUSA (East),7,5,.583,5,3,.625,27.2,23.0,-1.76,-4.34,,,,
2005,Southern Mississippi,CUSA (East),7,5,.583,5,3,.625,29.6,22.7,1.26,-4.49,,,,
2005,East Carolina,CUSA (East),5,6,.455,4,4,.500,24.3,28.8,-6.49,-2.86,,,,
2005,UAB,CUSA (East),5,6,.455,3,5,.375,27.9,24.0,-4.04,-6.77,,,,
2005,Marshall,CUSA (East),4,7,.364,3,5,.375,18.5,25.9,-9.86,-3.58,,,,
2005,Tulsa,CUSA (West),9,4,.692,6,2,.750,33.1,23.5,3.95,-3.20,,,,
2005,UTEP,CUSA (West),8,4,.667,5,3,.625,31.8,25.9,-2.45,-7.62,,24,,
2005,Houston,CUSA (West),6,6,.500,4,4,.500,28.1,27.0,-2.93,-3.85,,,,
2005,SMU,CUSA (West),5,6,.455,4,4,.500,20.8,25.5,-4.87,-3.50,,,,
2005,Tulane,CUSA (West),2,9,.182,1,7,.125,21.3,31.6,-15.82,-5.27,,,,
2005,Rice,CUSA (West),1,10,.091,1,7,.125,21.9,40.6,-15.03,0.16,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,Notre Dame,Ind,9,3,.750,,,,36.7,24.5,17.46,6.13,,5,9,
2005,Navy,Ind,8,4,.667,,,,34.2,26.1,1.77,-5.31,,,,
2005,Army,Ind,4,7,.364,,,,20.0,26.7,-5.81,-0.90,,,,
2005,Temple,Ind,0,11,.000,,,,9.7,45.3,-17.06,5.12,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,Akron,MAC (East),7,6,.538,5,3,.625,23.6,24.5,-5.50,-4.96,,,,
2005,Miami (OH),MAC (East),7,4,.636,5,3,.625,33.7,23.5,1.35,-6.11,,,,
2005,Bowling Green,MAC (East),6,5,.545,5,3,.625,33.8,27.6,-3.17,-6.07,,,,
2005,Ohio,MAC (East),4,7,.364,3,5,.375,17.5,30.5,-11.71,-1.89,,,,
2005,Buffalo,MAC (East),1,10,.091,1,7,.125,10.0,29.7,-21.29,-5.20,,,,
2005,Kent State,MAC (East),1,10,.091,0,8,.000,16.4,30.1,-17.23,-5.42,,,,
2005,Toledo,MAC (West),9,3,.750,6,2,.750,35.8,21.8,3.58,-7.25,,,,
2005,Northern Illinois,MAC (West),7,5,.583,6,2,.750,32.4,22.8,2.83,-3.26,,,,
2005,Western Michigan,MAC (West),7,4,.636,5,3,.625,32.2,31.1,-5.55,-7.37,,,,
2005,Central Michigan,MAC (West),6,5,.545,5,3,.625,23.6,23.6,-0.42,-1.69,,,,
2005,Ball State,MAC (West),4,7,.364,4,4,.500,21.2,37.8,-7.31,0.87,,,,
2005,Eastern Michigan,MAC (West),4,7,.364,3,5,.375,21.8,26.8,-7.42,-4.33,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,Texas Christian,MWC,11,1,.917,8,0,1.000,33.2,18.6,11.21,-1.46,,11,11,
2005,BYU,MWC,6,6,.500,5,3,.625,33.0,29.3,1.58,0.17,,,,
2005,Colorado State,MWC,6,6,.500,5,3,.625,26.8,30.8,-2.76,0.16,,,,
2005,Utah,MWC,7,5,.583,4,4,.500,30.0,24.1,2.83,-2.08,,,,
2005,New Mexico,MWC,6,5,.545,4,4,.500,29.6,29.7,-2.51,-3.15,,,,
2005,San Diego State,MWC,5,7,.417,4,4,.500,26.9,27.1,-1.57,-0.15,,,,
2005,Air Force,MWC,4,7,.364,3,5,.375,30.0,31.7,-4.38,-1.65,,,,
2005,Wyoming,MWC,4,7,.364,2,6,.250,24.6,27.0,-4.88,-1.88,,,,
2005,Nevada-Las Vegas,MWC,2,9,.182,1,7,.125,18.8,34.6,-14.88,-3.88,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,USC,Pac-10,12,1,.923,8,0,1.000,49.1,22.8,24.57,6.80,1,1,2,record adjusted to 0-1-0 by NCAA
2005,Oregon,Pac-10,10,2,.833,7,1,.875,34.5,23.2,13.13,3.05,,6,12,
2005,UCLA,Pac-10,10,2,.833,6,2,.750,39.1,34.2,11.22,3.81,,7,16,
2005,California,Pac-10,8,4,.667,4,4,.500,32.9,21.2,8.64,-0.03,19,10,25,
2005,Arizona State,Pac-10,7,5,.583,4,4,.500,36.8,29.9,9.63,4.63,20,14,,
2005,Stanford,Pac-10,5,6,.455,4,4,.500,24.5,30.6,1.19,6.19,,,,
2005,Oregon State,Pac-10,5,6,.455,3,5,.375,26.6,33.2,-0.87,3.31,,,,
2005,Arizona,Pac-10,3,8,.273,2,6,.250,22.9,26.4,0.11,5.01,,,,
2005,Washington State,Pac-10,4,7,.364,1,7,.125,33.5,31.5,1.60,1.88,,,,
2005,Washington,Pac-10,2,9,.182,1,7,.125,21.5,30.6,-3.11,5.61,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,Georgia,SEC (East),10,3,.769,6,2,.750,29.5,16.4,13.75,3.36,13,4,10,
2005,Florida,SEC (East),9,3,.750,5,3,.625,28.6,18.8,12.32,3.82,10,5,12,
2005,South Carolina,SEC (East),7,5,.583,5,3,.625,23.7,23.3,5.24,3.74,,19,,
2005,Tennessee,SEC (East),5,6,.455,3,5,.375,18.6,18.6,4.25,4.80,3,3,,
2005,Vanderbilt,SEC (East),5,6,.455,3,5,.375,27.2,29.2,-0.75,0.71,,,,
2005,Kentucky,SEC (East),3,8,.273,2,6,.250,21.7,34.1,-9.06,2.03,,,,
2005,LSU,SEC (West),11,2,.846,7,1,.875,29.5,14.2,14.18,2.48,5,3,6,
2005,Auburn,SEC (West),9,3,.750,7,1,.875,32.2,15.5,13.63,1.54,16,7,14,
2005,Alabama,SEC (West),10,2,.833,6,2,.750,21.9,10.7,12.89,1.97,,4,8,record adjusted to 0-2-0 by NCAA
2005,Arkansas,SEC (West),4,7,.364,2,6,.250,25.7,24.6,3.44,3.16,,,,
2005,Mississippi State,SEC (West),3,8,.273,1,7,.125,13.9,23.5,-7.03,1.43,,,,
2005,Ole Miss,SEC (West),3,8,.273,1,7,.125,13.5,22.3,-7.48,0.52,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,Louisiana,Sun Belt,6,5,.545,5,2,.714,26.0,27.6,-9.19,-10.10,,,,
2005,Arkansas State,Sun Belt,6,6,.500,5,2,.714,24.5,25.3,-12.80,-10.72,,,,record adjusted to 2-6-0 by NCAA
2005,Louisiana-Monroe,Sun Belt,5,6,.455,5,2,.714,21.7,30.8,-15.00,-9.73,,,,
2005,Florida International,Sun Belt,5,6,.455,3,4,.429,23.4,29.4,-14.88,-11.69,,,,
2005,Middle Tennessee State,Sun Belt,4,7,.364,3,4,.429,19.1,18.7,-9.89,-8.44,,,,
2005,Troy,Sun Belt,4,7,.364,3,4,.429,15.9,23.2,-16.70,-10.25,,,,
2005,Florida Atlantic,Sun Belt,2,9,.182,2,5,.286,13.5,30.8,-18.39,-6.85,,,,
2005,North Texas,Sun Belt,2,9,.182,2,5,.286,14.3,31.5,-18.23,-7.60,,,,
2005,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,
2005,Nevada,WAC,9,3,.750,7,1,.875,34.2,31.9,-5.21,-8.12,,,,
2005,Boise State,WAC,9,4,.692,7,1,.875,36.1,24.4,2.11,-6.36,18,18,,
2005,Louisiana Tech,WAC,7,4,.636,6,2,.750,28.7,25.5,-3.39,-7.30,,,,
2005,Fresno State,WAC,8,5,.615,6,2,.750,37.8,22.5,5.72,-4.82,24,16,,
2005,Hawaii,WAC,5,7,.417,4,4,.500,30.7,35.7,-5.61,-2.86,,,,
2005,San Jose State,WAC,3,8,.273,2,6,.250,22.5,32.5,-16.61,-8.61,,,,
2005,Utah State,WAC,3,8,.273,2,6,.250,18.9,32.7,-17.68,-5.87,,,,
2005,Idaho,WAC,2,9,.182,2,6,.250,22.1,38.1,-19.37,-7.28,,,,
2005,New Mexico State,WAC,0,12,.000,0,8,.000,16.5,38.8,-22.98,-4.15,,,,
2006,Wake Forest,ACC (Atlantic),11,3,.786,6,2,.750,21.6,15.4,7.95,1.10,,14,18,
2006,Boston College,ACC (Atlantic),10,3,.769,5,3,.625,26.0,15.7,9.96,0.58,,16,20,
2006,Maryland,ACC (Atlantic),9,4,.692,5,3,.625,21.8,21.8,2.70,1.01,,21,,
2006,Clemson,ACC (Atlantic),8,5,.615,5,3,.625,32.7,16.2,8.19,0.65,18,10,,
2006,Florida State,ACC (Atlantic),7,6,.538,3,5,.375,26.5,19.8,6.19,2.19,11,9,,record adjusted to 2-6-0 by NCAA
2006,North Carolina State,ACC (Atlantic),3,9,.250,2,6,.250,17.5,21.8,-4.11,0.64,,,,
2006,Georgia Tech,ACC (Coastal),9,5,.643,7,1,.875,24.9,18.4,6.50,1.64,,13,,
2006,Virginia Tech,ACC (Coastal),10,3,.769,6,2,.750,25.8,11.0,12.47,0.16,17,11,19,
2006,Virginia,ACC (Coastal),5,7,.417,4,4,.500,15.1,17.8,-2.50,0.42,,,,
2006,Miami (FL),ACC (Coastal),7,6,.538,3,5,.375,19.6,15.5,3.02,0.40,12,12,,
2006,North Carolina,ACC (Coastal),3,9,.250,2,6,.250,18.0,30.5,-7.54,2.46,,,,
2006,Duke,ACC (Coastal),0,12,.000,0,8,.000,14.9,33.8,-14.98,2.36,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Nebraska,Big 12 (North),9,5,.643,6,2,.750,30.6,18.3,8.92,1.99,20,17,,
2006,Missouri,Big 12 (North),8,5,.615,4,4,.500,30.1,19.5,8.15,-0.09,,19,,
2006,Kansas State,Big 12 (North),7,6,.538,4,4,.500,22.8,23.8,-0.07,1.32,,,,
2006,Kansas,Big 12 (North),6,6,.500,3,5,.375,29.0,25.5,0.53,-1.64,,,,
2006,Colorado,Big 12 (North),2,10,.167,2,6,.250,16.3,22.3,-6.18,0.99,,,,
2006,Iowa State,Big 12 (North),4,8,.333,1,7,.125,18.8,30.8,-9.91,0.17,,,,
2006,Oklahoma,Big 12 (South),11,3,.786,7,1,.875,30.3,17.3,12.75,2.83,10,7,11,
2006,Texas,Big 12 (South),10,3,.769,6,2,.750,35.9,18.3,12.18,0.57,3,2,13,
2006,Texas A&M,Big 12 (South),9,4,.692,5,3,.625,27.8,20.5,6.53,0.99,,21,,
2006,Texas Tech,Big 12 (South),8,5,.615,4,4,.500,32.5,25.1,4.20,0.43,25,24,,
2006,Oklahoma State,Big 12 (South),7,6,.538,3,5,.375,35.2,25.6,6.04,1.12,,,,
2006,Baylor,Big 12 (South),4,8,.333,3,5,.375,23.6,32.6,-4.62,1.88,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Louisville,Big East,12,1,.923,6,1,.857,37.8,16.3,19.94,2.94,13,3,6,
2006,Rutgers,Big East,11,2,.846,5,2,.714,29.8,14.3,12.88,1.11,,7,12,
2006,West Virginia,Big East,11,2,.846,5,2,.714,38.8,21.7,16.80,2.10,5,3,10,
2006,South Florida,Big East,9,4,.692,4,3,.571,23.0,16.9,5.94,0.25,,,,
2006,Cincinnati,Big East,8,5,.615,4,3,.571,21.1,19.6,5.29,3.29,,,,
2006,Pitt,Big East,6,6,.500,2,5,.286,31.8,22.8,4.57,1.23,,,,
2006,Connecticut,Big East,4,8,.333,1,6,.143,21.4,27.0,-3.02,3.48,,,,
2006,Syracuse,Big East,4,8,.333,1,6,.143,17.4,24.6,-2.08,4.34,,,,record adjusted to 0-8-0 by NCAA
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Ohio State,Big Ten,12,1,.923,8,0,1.000,34.6,12.8,18.76,2.07,1,1,2,
2006,Wisconsin,Big Ten,12,1,.923,7,1,.875,29.2,12.1,11.97,-2.88,,6,7,
2006,Michigan,Big Ten,11,2,.846,7,1,.875,29.2,15.9,16.66,4.35,14,2,8,
2006,Penn State,Big Ten,9,4,.692,5,3,.625,22.3,14.4,6.89,0.97,19,19,24,
2006,Purdue,Big Ten,8,6,.571,5,3,.625,26.0,26.7,-0.61,-0.68,,,,
2006,Minnesota,Big Ten,6,7,.462,3,5,.375,28.9,26.0,1.45,1.84,,,,
2006,Indiana,Big Ten,5,7,.417,3,5,.375,23.1,32.8,-3.53,1.05,,,,
2006,Iowa,Big Ten,6,7,.462,2,6,.250,23.8,20.7,1.86,0.93,16,13,,
2006,Northwestern,Big Ten,4,8,.333,2,6,.250,16.5,26.2,-7.39,0.11,,,,
2006,Michigan State,Big Ten,4,8,.333,1,7,.125,25.2,28.4,-3.14,1.11,,,,
2006,Illinois,Big Ten,2,10,.167,1,7,.125,19.6,26.8,-5.87,1.13,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Southern Mississippi,CUSA (East),9,5,.643,6,2,.750,25.4,18.6,3.65,-1.49,,,,
2006,East Carolina,CUSA (East),7,6,.538,5,3,.625,21.5,20.8,-0.60,-1.06,,,,
2006,Marshall,CUSA (East),5,7,.417,4,4,.500,25.9,29.3,-4.98,-2.57,,,,
2006,UCF,CUSA (East),4,8,.333,3,5,.375,19.3,28.8,-7.16,-1.24,,,,
2006,UAB,CUSA (East),3,9,.250,2,6,.250,18.8,24.8,-7.28,-1.61,,,,
2006,Memphis,CUSA (East),2,10,.167,1,7,.125,23.4,30.4,-10.33,-2.67,,,,
2006,Houston,CUSA (West),10,4,.714,7,1,.875,33.0,23.5,5.40,-2.89,,,,
2006,Rice,CUSA (West),7,6,.538,6,2,.750,26.9,33.2,-3.89,-1.35,,,,
2006,Tulsa,CUSA (West),8,5,.615,5,3,.625,27.7,20.2,2.64,-3.13,,,,
2006,SMU,CUSA (West),6,6,.500,4,4,.500,27.1,24.5,-5.13,-5.55,,,,
2006,UTEP,CUSA (West),5,7,.417,3,5,.375,27.3,31.3,-7.78,-4.20,,,,
2006,Tulane,CUSA (West),4,8,.333,2,6,.250,18.7,33.3,-9.91,0.09,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Notre Dame,Ind,10,3,.769,,,,31.0,23.8,11.32,3.56,2,2,17,
2006,Navy,Ind,9,4,.692,,,,28.2,20.1,2.58,-4.42,,,,
2006,Army,Ind,3,9,.250,,,,19.3,27.9,-11.37,-2.79,,,,
2006,Temple,Ind,1,11,.083,,,,10.9,41.3,-17.90,-0.40,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Ohio,MAC (East),9,5,.643,7,1,.875,19.7,18.1,-4.89,-6.03,,,,
2006,Kent State,MAC (East),6,6,.500,5,3,.625,17.8,20.1,-10.47,-9.14,,,,
2006,Akron,MAC (East),5,7,.417,3,5,.375,19.7,22.6,-9.70,-6.70,,,,
2006,Bowling Green,MAC (East),4,8,.333,3,5,.375,19.5,28.3,-14.87,-7.37,,,,
2006,Miami (OH),MAC (East),2,10,.167,2,6,.250,18.5,25.3,-13.85,-6.02,,,,
2006,Buffalo,MAC (East),2,10,.167,1,7,.125,18.3,35.9,-16.89,-3.48,,,,
2006,Central Michigan,MAC (West),10,4,.714,7,1,.875,29.7,22.3,2.35,-5.15,,,,
2006,Western Michigan,MAC (West),8,5,.615,6,2,.750,23.0,19.9,-2.77,-5.77,,,,
2006,Northern Illinois,MAC (West),7,6,.538,5,3,.625,25.5,21.2,-2.33,-5.79,,,,
2006,Ball State,MAC (West),5,7,.417,5,3,.625,27.2,25.8,-5.52,-6.43,,,,
2006,Toledo,MAC (West),5,7,.417,3,5,.375,23.4,27.7,-10.99,-6.91,,,,
2006,Eastern Michigan,MAC (West),1,11,.083,1,7,.125,13.9,26.8,-17.60,-5.43,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,BYU,MWC,11,2,.846,8,0,1.000,36.8,14.7,15.21,-1.33,,16,16,
2006,Texas Christian,MWC,11,2,.846,6,2,.750,29.2,12.3,9.27,-3.88,22,16,22,
2006,Utah,MWC,8,5,.615,5,3,.625,27.9,19.8,3.32,-1.61,,,,
2006,Wyoming,MWC,6,6,.500,5,3,.625,21.5,22.0,-0.41,-1.33,,,,
2006,New Mexico,MWC,6,7,.462,4,4,.500,21.8,24.0,-3.75,-2.29,,,,
2006,Air Force,MWC,4,8,.333,3,5,.375,23.3,25.2,-2.94,0.81,,,,
2006,San Diego State,MWC,3,9,.250,3,5,.375,14.2,27.1,-11.03,-1.03,,,,
2006,Colorado State,MWC,4,8,.333,1,7,.125,16.8,21.9,-7.43,-2.34,,,,
2006,Nevada-Las Vegas,MWC,2,10,.167,1,7,.125,19.8,31.8,-12.14,-0.89,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,USC,Pac-10,11,2,.846,7,2,.778,30.5,15.2,20.36,7.90,6,2,4,
2006,California,Pac-10,10,3,.769,7,2,.778,32.8,19.3,16.36,4.74,9,8,14,
2006,Oregon State,Pac-10,10,4,.714,6,3,.667,27.8,22.2,9.67,4.88,,21,21,
2006,UCLA,Pac-10,7,6,.538,5,4,.556,23.0,19.9,8.71,6.25,,,,
2006,Arizona State,Pac-10,7,6,.538,4,5,.444,26.8,25.1,6.28,4.43,24,22,,
2006,Oregon,Pac-10,7,6,.538,4,5,.444,29.5,26.5,5.94,5.55,21,11,,
2006,Arizona,Pac-10,6,6,.500,4,5,.444,16.6,19.6,5.84,7.01,,,,
2006,Washington State,Pac-10,6,6,.500,4,5,.444,24.6,23.1,5.81,5.40,,25,,
2006,Washington,Pac-10,5,7,.417,3,6,.333,21.8,25.9,2.81,6.39,,,,
2006,Stanford,Pac-10,1,11,.083,1,8,.111,10.6,31.4,-8.73,7.93,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Florida,SEC (East),13,1,.929,7,1,.875,29.7,13.5,19.66,6.95,7,1,1,
2006,Tennessee,SEC (East),9,4,.692,5,3,.625,27.8,19.5,14.15,6.92,23,7,25,
2006,Georgia,SEC (East),9,4,.692,4,4,.500,25.2,17.6,10.21,3.75,15,9,23,
2006,Kentucky,SEC (East),8,5,.615,4,4,.500,26.7,28.4,6.65,5.88,,,,
2006,South Carolina,SEC (East),8,5,.615,3,5,.375,26.6,18.7,9.67,4.75,,,,
2006,Vanderbilt,SEC (East),4,8,.333,1,7,.125,22.0,23.7,1.17,3.67,,,,
2006,Arkansas,SEC (West),10,4,.714,7,1,.875,28.9,18.3,13.12,5.05,,5,15,
2006,Auburn,SEC (West),11,2,.846,6,2,.750,24.8,13.9,13.51,3.81,4,2,9,
2006,LSU,SEC (West),11,2,.846,6,2,.750,33.7,12.6,18.86,4.78,8,3,3,
2006,Alabama,SEC (West),6,7,.462,2,6,.250,22.9,19.2,5.64,4.03,,,,record adjusted to 0-7-0 by NCAA
2006,Ole Miss,SEC (West),4,8,.333,2,6,.250,15.7,22.9,-1.74,4.59,,,,
2006,Mississippi State,SEC (West),3,9,.250,1,7,.125,18.4,25.8,-2.64,4.86,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Troy,Sun Belt,8,5,.615,6,1,.857,22.8,22.2,-3.44,-5.97,,,,
2006,Middle Tennessee State,Sun Belt,7,6,.538,6,1,.857,22.8,23.2,-1.87,-3.25,,,,
2006,Arkansas State,Sun Belt,6,6,.500,4,3,.571,15.2,24.1,-11.13,-5.88,,,,record adjusted to 0-6-0 by NCAA
2006,Florida Atlantic,Sun Belt,5,7,.417,4,3,.571,15.1,24.9,-8.67,-4.92,,,,
2006,Louisiana,Sun Belt,6,6,.500,3,4,.429,20.7,24.7,-7.72,-5.89,,,,
2006,Louisiana-Monroe,Sun Belt,4,8,.333,3,4,.429,21.8,22.3,-6.28,-4.95,,,,
2006,North Texas,Sun Belt,3,9,.250,2,5,.286,12.8,25.3,-16.06,-6.15,,,,
2006,Florida International,Sun Belt,0,12,.000,0,7,.000,9.6,26.1,-19.23,-4.39,,,,
2006,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,
2006,Boise State,WAC,13,0,1.000,8,0,1.000,39.7,17.6,14.65,-2.58,,5,5,
2006,Hawaii,WAC,11,3,.786,7,1,.875,46.9,24.1,10.71,-3.29,,24,,
2006,San Jose State,WAC,9,4,.692,5,3,.625,24.9,20.8,-0.49,-4.95,,,,
2006,Nevada,WAC,8,5,.615,5,3,.625,30.1,19.2,3.45,-3.70,,,,
2006,Fresno State,WAC,4,8,.333,4,4,.500,23.0,28.3,-5.76,-0.09,,,,
2006,Idaho,WAC,4,8,.333,3,5,.375,16.9,34.8,-11.37,-1.71,,,,
2006,New Mexico State,WAC,4,8,.333,2,6,.250,31.2,30.8,-6.30,-5.55,,,,
2006,Louisiana Tech,WAC,3,10,.231,1,7,.125,18.6,41.7,-15.40,-1.63,,,,
2006,Utah State,WAC,1,11,.083,1,7,.125,10.8,38.5,-16.52,1.73,,,,
2007,Boston College,ACC (Atlantic),11,3,.786,6,2,.750,28.3,20.4,9.75,1.54,,2,10,
2007,Clemson,ACC (Atlantic),9,4,.692,5,3,.625,33.1,18.7,11.40,1.71,,13,21,
2007,Wake Forest,ACC (Atlantic),9,4,.692,5,3,.625,27.8,22.2,7.07,1.22,,21,,
2007,Florida State,ACC (Atlantic),7,6,.538,4,4,.500,23.3,22.9,5.02,4.33,19,19,,record adjusted to 0-6-0 by NCAA
2007,Maryland,ACC (Atlantic),6,7,.462,3,5,.375,24.1,21.5,4.31,3.15,,,,
2007,North Carolina State,ACC (Atlantic),5,7,.417,3,5,.375,20.8,28.3,-3.13,2.96,,,,
2007,Virginia Tech,ACC (Coastal),11,3,.786,7,1,.875,28.7,16.1,14.22,2.86,9,5,9,
2007,Virginia,ACC (Coastal),9,4,.692,6,2,.750,24.4,19.7,5.89,1.66,,16,,
2007,Georgia Tech,ACC (Coastal),7,6,.538,4,4,.500,26.2,20.8,3.94,1.24,,15,,
2007,North Carolina,ACC (Coastal),4,8,.333,3,5,.375,21.2,24.5,-1.82,2.02,,,,
2007,Miami (FL),ACC (Coastal),5,7,.417,2,6,.250,20.6,26.0,-1.23,1.60,,,,
2007,Duke,ACC (Coastal),1,11,.083,0,8,.000,17.9,33.2,-10.34,3.33,,,,
2007,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,
2007,Kansas,Big 12 (North),12,1,.923,7,1,.875,42.8,16.4,14.45,-1.24,,2,7,
2007,Missouri,Big 12 (North),12,2,.857,7,1,.875,39.9,23.3,16.77,3.70,,1,4,
2007,Colorado,Big 12 (North),6,7,.462,4,4,.500,27.3,29.5,2.65,4.11,,,,
2007,Kansas State,Big 12 (North),5,7,.417,3,5,.375,35.2,30.8,3.63,1.97,,24,,
2007,Nebraska,Big 12 (North),5,7,.417,2,6,.250,33.4,37.9,1.48,5.89,20,14,,
2007,Iowa State,Big 12 (North),3,9,.250,2,6,.250,18.2,31.8,-7.21,2.45,,,,
2007,Oklahoma,Big 12 (South),11,3,.786,6,2,.750,42.3,20.3,15.87,2.87,8,3,8,
2007,Texas,Big 12 (South),10,3,.769,5,3,.625,37.2,25.3,10.99,1.91,4,4,10,
2007,Texas Tech,Big 12 (South),9,4,.692,4,4,.500,40.9,25.9,8.28,-0.80,,22,22,
2007,Oklahoma State,Big 12 (South),7,6,.538,4,4,.500,34.6,29.5,6.67,4.06,,,,
2007,Texas A&M,Big 12 (South),7,6,.538,4,4,.500,27.9,25.9,5.56,3.87,25,20,,
2007,Baylor,Big 12 (South),3,9,.250,0,8,.000,18.2,37.0,-11.15,2.60,,,,
2007,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,
2007,West Virginia,Big East,11,2,.846,5,2,.714,39.6,18.1,19.09,3.40,3,2,6,
2007,Connecticut,Big East,9,4,.692,5,2,.714,26.5,19.0,7.07,0.45,,16,,
2007,Cincinnati,Big East,10,3,.769,4,3,.571,36.3,18.8,13.40,0.48,,15,17,
2007,South Florida,Big East,9,4,.692,4,3,.571,34.7,23.4,12.37,4.37,,2,,
2007,Rutgers,Big East,8,5,.615,3,4,.429,32.8,22.5,6.75,0.44,16,10,,
2007,Louisville,Big East,6,6,.500,3,4,.429,35.2,31.4,5.02,3.44,10,8,,
2007,Pitt,Big East,5,7,.417,3,4,.429,22.8,24.3,1.64,2.81,,,,
2007,Syracuse,Big East,2,10,.167,1,6,.143,16.4,34.8,-10.72,4.62,,,,
2007,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,
2007,Ohio State,Big Ten,11,2,.846,7,1,.875,31.4,12.8,14.84,0.53,11,1,5,
2007,Illinois,Big Ten,9,4,.692,6,2,.750,27.8,21.8,8.07,1.76,,13,20,
2007,Michigan,Big Ten,9,4,.692,6,2,.750,27.2,21.4,7.91,2.68,5,5,18,
2007,Wisconsin,Big Ten,9,4,.692,5,3,.625,29.5,23.2,5.31,0.08,7,5,24,
2007,Penn State,Big Ten,9,4,.692,4,4,.500,30.3,17.5,9.09,0.32,17,10,,
2007,Iowa,Big Ten,6,6,.500,4,4,.500,18.5,18.8,-3.43,-2.10,,,,
2007,Purdue,Big Ten,8,5,.615,3,5,.375,34.3,26.5,4.24,-1.69,,23,,
2007,Indiana,Big Ten,7,6,.538,3,5,.375,31.7,28.5,0.34,-1.43,,,,
2007,Michigan State,Big Ten,7,6,.538,3,5,.375,33.1,26.6,6.69,1.69,,,,
2007,Northwestern,Big Ten,6,6,.500,3,5,.375,25.8,31.0,-3.70,-1.45,,,,
2007,Minnesota,Big Ten,1,11,.083,0,8,.000,26.3,36.7,-11.69,-0.02,,,,
2007,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,
2007,UCF,CUSA (East),10,4,.714,7,1,.875,35.9,26.6,6.13,-3.30,,,,
2007,East Carolina,CUSA (East),8,5,.615,6,2,.750,31.0,30.4,1.00,-1.38,,,,
2007,Memphis,CUSA (East),7,6,.538,6,2,.750,29.2,32.2,-8.40,-7.40,,,,
2007,Southern Mississippi,CUSA (East),7,6,.538,5,3,.625,27.8,24.2,-2.09,-4.47,,,,
2007,Marshall,CUSA (East),3,9,.250,3,5,.375,24.8,34.3,-9.93,-1.59,,,,
2007,UAB,CUSA (East),2,10,.167,1,7,.125,19.6,35.1,-13.98,-2.40,,,,
2007,Tulsa,CUSA (West),10,4,.714,6,2,.750,41.1,33.4,0.10,-4.62,,,,
2007,Houston,CUSA (West),8,5,.615,6,2,.750,34.5,29.2,-1.50,-5.27,,,,
2007,Tulane,CUSA (West),4,8,.333,3,5,.375,24.4,31.3,-13.57,-5.82,,,,
2007,Rice,CUSA (West),3,9,.250,3,5,.375,31.4,42.9,-14.59,-5.75,,,,
2007,UTEP,CUSA (West),4,8,.333,2,6,.250,33.6,37.1,-9.30,-4.88,,,,
2007,SMU,CUSA (West),1,11,.083,0,8,.000,28.3,39.8,-15.44,-4.53,,,,
2007,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,
2007,Navy,Ind,8,5,.615,,,,39.3,36.4,-2.90,-5.36,,,,
