team,year,group,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offense,ppg_defense,SRS,SOS
Idaho,2005,2,2.0,9.0,0.182,2.0,6.0,0.25,22.1,38.1,-19.37,-7.28
New Mexico State,2005,2,0.0,12.0,0.0,0.0,8.0,0.0,16.5,38.8,-22.98,-4.15
Wake Forest,2006,0,11.0,3.0,0.786,6.0,2.0,0.75,21.6,15.4,7.95,1.1
Boston College,2006,0,10.0,3.0,0.769,5.0,3.0,0.625,26.0,15.7,9.96,0.58
Maryland,2006,1,9.0,4.0,0.692,5.0,3.0,0.625,21.8,21.8,2.7,1.01
Clemson,2006,0,8.0,5.0,0.615,5.0,3.0,0.625,32.7,16.2,8.19,0.65
Florida State,2006,1,7.0,6.0,0.538,3.0,5.0,0.375,26.5,19.8,6.19,2.19
North Carolina State,2006,2,3.0,9.0,0.25,2.0,6.0,0.25,17.5,21.8,-4.11,0.64
Georgia Tech,2006,0,9.0,5.0,0.643,7.0,1.0,0.875,24.9,18.4,6.5,1.64
Virginia Tech,2006,0,10.0,3.0,0.769,6.0,2.0,0.75,25.8,11.0,12.47,0.16
Virginia,2006,1,5.0,7.0,0.417,4.0,4.0,0.5,15.1,17.8,-2.5,0.42
Miami FL,2006,1,7.0,6.0,0.538,3.0,5.0,0.375,19.6,15.5,3.02,0.4
North Carolina,2006,2,3.0,9.0,0.25,2.0,6.0,0.25,18.0,30.5,-7.54,2.46
Duke,2006,2,0.0,12.0,0.0,0.0,8.0,0.0,14.9,33.8,-14.98,2.36
Nebraska,2006,0,9.0,5.0,0.643,6.0,2.0,0.75,30.6,18.3,8.92,1.99
Missouri,2006,1,8.0,5.0,0.615,4.0,4.0,0.5,30.1,19.5,8.15,-0.09
Kansas State,2006,1,7.0,6.0,0.538,4.0,4.0,0.5,22.8,23.8,-0.07,1.32
Kansas,2006,1,6.0,6.0,0.5,3.0,5.0,0.375,29.0,25.5,0.53,-1.64
Colorado,2006,2,2.0,10.0,0.167,2.0,6.0,0.25,16.3,22.3,-6.18,0.99
Iowa State,2006,2,4.0,8.0,0.333,1.0,7.0,0.125,18.8,30.8,-9.91,0.17
Oklahoma,2006,0,11.0,3.0,0.786,7.0,1.0,0.875,30.3,17.3,12.75,2.83
Texas,2006,0,10.0,3.0,0.769,6.0,2.0,0.75,35.9,18.3,12.18,0.57
Texas A&M,2006,0,9.0,4.0,0.692,5.0,3.0,0.625,27.8,20.5,6.53,0.99
Texas Tech,2006,1,8.0,5.0,0.615,4.0,4.0,0.5,32.5,25.1,4.2,0.43
Oklahoma State,2006,1,7.0,6.0,0.538,3.0,5.0,0.375,35.2,25.6,6.04,1.12
Baylor,2006,2,4.0,8.0,0.333,3.0,5.0,0.375,23.6,32.6,-4.62,1.88
Louisville,2006,0,12.0,1.0,0.923,6.0,1.0,0.857,37.8,16.3,19.94,2.94
Rutgers,2006,0,11.0,2.0,0.846,5.0,2.0,0.714,29.8,14.3,12.88,1.11
West Virginia,2006,0,11.0,2.0,0.846,5.0,2.0,0.714,38.8,21.7,16.8,2.1
South Florida,2006,1,9.0,4.0,0.692,4.0,3.0,0.571,23.0,16.9,5.94,0.25
Cincinnati,2006,1,8.0,5.0,0.615,4.0,3.0,0.571,21.1,19.6,5.29,3.29
Pitt,2006,1,6.0,6.0,0.5,2.0,5.0,0.286,31.8,22.8,4.57,1.23
Connecticut,2006,2,4.0,8.0,0.333,1.0,6.0,0.143,21.4,27.0,-3.02,3.48
Syracuse,2006,2,4.0,8.0,0.333,1.0,6.0,0.143,17.4,24.6,-2.08,4.34
Ohio State,2006,0,12.0,1.0,0.923,8.0,0.0,1.0,34.6,12.8,18.76,2.07
Wisconsin,2006,0,12.0,1.0,0.923,7.0,1.0,0.875,29.2,12.1,11.97,-2.88
Michigan,2006,0,11.0,2.0,0.846,7.0,1.0,0.875,29.2,15.9,16.66,4.35
Penn State,2006,0,9.0,4.0,0.692,5.0,3.0,0.625,22.3,14.4,6.89,0.97
Purdue,2006,1,8.0,6.0,0.571,5.0,3.0,0.625,26.0,26.7,-0.61,-0.68
Minnesota,2006,1,6.0,7.0,0.462,3.0,5.0,0.375,28.9,26.0,1.45,1.84
Indiana,2006,1,5.0,7.0,0.417,3.0,5.0,0.375,23.1,32.8,-3.53,1.05
Iowa,2006,1,6.0,7.0,0.462,2.0,6.0,0.25,23.8,20.7,1.86,0.93
Northwestern,2006,2,4.0,8.0,0.333,2.0,6.0,0.25,16.5,26.2,-7.39,0.11
Michigan State,2006,2,4.0,8.0,0.333,1.0,7.0,0.125,25.2,28.4,-3.14,1.11
Illinois,2006,2,2.0,10.0,0.167,1.0,7.0,0.125,19.6,26.8,-5.87,1.13
Southern Mississippi,2006,0,9.0,5.0,0.643,6.0,2.0,0.75,25.4,18.6,3.65,-1.49
East Carolina,2006,1,7.0,6.0,0.538,5.0,3.0,0.625,21.5,20.8,-0.6,-1.06
Marshall,2006,1,5.0,7.0,0.417,4.0,4.0,0.5,25.9,29.3,-4.98,-2.57
UCF,2006,2,4.0,8.0,0.333,3.0,5.0,0.375,19.3,28.8,-7.16,-1.24
UAB,2006,2,3.0,9.0,0.25,2.0,6.0,0.25,18.8,24.8,-7.28,-1.61
Memphis,2006,2,2.0,10.0,0.167,1.0,7.0,0.125,23.4,30.4,-10.33,-2.67
Houston,2006,0,10.0,4.0,0.714,7.0,1.0,0.875,33.0,23.5,5.4,-2.89
Rice,2006,1,7.0,6.0,0.538,6.0,2.0,0.75,26.9,33.2,-3.89,-1.35
Tulsa,2006,1,8.0,5.0,0.615,5.0,3.0,0.625,27.7,20.2,2.64,-3.13
SMU,2006,1,6.0,6.0,0.5,4.0,4.0,0.5,27.1,24.5,-5.13,-5.55
UTEP,2006,1,5.0,7.0,0.417,3.0,5.0,0.375,27.3,31.3,-7.78,-4.2
Tulane,2006,2,4.0,8.0,0.333,2.0,6.0,0.25,18.7,33.3,-9.91,0.09
Notre Dame,2006,1,10.0,3.0,0.769,0.0,0.0,0.0,31.0,23.8,11.32,3.56
Navy,2006,1,9.0,4.0,0.692,0.0,0.0,0.0,28.2,20.1,2.58,-4.42
Army,2006,2,3.0,9.0,0.25,0.0,0.0,0.0,19.3,27.9,-11.37,-2.79
Temple,2006,2,1.0,11.0,0.083,0.0,0.0,0.0,10.9,41.3,-17.9,-0.4
Ohio,2006,0,9.0,5.0,0.643,7.0,1.0,0.875,19.7,18.1,-4.89,-6.03
Kent State,2006,1,6.0,6.0,0.5,5.0,3.0,0.625,17.8,20.1,-10.47,-9.14
Akron,2006,1,5.0,7.0,0.417,3.0,5.0,0.375,19.7,22.6,-9.7,-6.7
Bowling Green,2006,2,4.0,8.0,0.333,3.0,5.0,0.375,19.5,28.3,-14.87,-7.37
Miami OH,2006,2,2.0,10.0,0.167,2.0,6.0,0.25,18.5,25.3,-13.85,-6.02
Buffalo,2006,2,2.0,10.0,0.167,1.0,7.0,0.125,18.3,35.9,-16.89,-3.48
Central Michigan,2006,0,10.0,4.0,0.714,7.0,1.0,0.875,29.7,22.3,2.35,-5.15
Western Michigan,2006,1,8.0,5.0,0.615,6.0,2.0,0.75,23.0,19.9,-2.77,-5.77
Northern Illinois,2006,1,7.0,6.0,0.538,5.0,3.0,0.625,25.5,21.2,-2.33,-5.79
Ball State,2006,1,5.0,7.0,0.417,5.0,3.0,0.625,27.2,25.8,-5.52,-6.43
Toledo,2006,2,5.0,7.0,0.417,3.0,5.0,0.375,23.4,27.7,-10.99,-6.91
Eastern Michigan,2006,2,1.0,11.0,0.083,1.0,7.0,0.125,13.9,26.8,-17.6,-5.43
BYU,2006,0,11.0,2.0,0.846,8.0,0.0,1.0,36.8,14.7,15.21,-1.33
Texas Christian,2006,0,11.0,2.0,0.846,6.0,2.0,0.75,29.2,12.3,9.27,-3.88
Utah,2006,1,8.0,5.0,0.615,5.0,3.0,0.625,27.9,19.8,3.32,-1.61
Wyoming,2006,1,6.0,6.0,0.5,5.0,3.0,0.625,21.5,22.0,-0.41,-1.33
New Mexico,2006,1,6.0,7.0,0.462,4.0,4.0,0.5,21.8,24.0,-3.75,-2.29
Air Force,2006,2,4.0,8.0,0.333,3.0,5.0,0.375,23.3,25.2,-2.94,0.81
San Diego State,2006,2,3.0,9.0,0.25,3.0,5.0,0.375,14.2,27.1,-11.03,-1.03
Colorado State,2006,2,4.0,8.0,0.333,1.0,7.0,0.125,16.8,21.9,-7.43,-2.34
UNLV,2006,2,2.0,10.0,0.167,1.0,7.0,0.125,19.8,31.8,-12.14,-0.89
USC,2006,0,11.0,2.0,0.846,7.0,2.0,0.778,30.5,15.2,20.36,7.9
California,2006,0,10.0,3.0,0.769,7.0,2.0,0.778,32.8,19.3,16.36,4.74
Oregon State,2006,0,10.0,4.0,0.714,6.0,3.0,0.667,27.8,22.2,9.67,4.88
UCLA,2006,1,7.0,6.0,0.538,5.0,4.0,0.556,23.0,19.9,8.71,6.25
Arizona State,2006,1,7.0,6.0,0.538,4.0,5.0,0.444,26.8,25.1,6.28,4.43
Oregon,2006,1,7.0,6.0,0.538,4.0,5.0,0.444,29.5,26.5,5.94,5.55
Arizona,2006,1,6.0,6.0,0.5,4.0,5.0,0.444,16.6,19.6,5.84,7.01
Washington State,2006,1,6.0,6.0,0.5,4.0,5.0,0.444,24.6,23.1,5.81,5.4
Washington,2006,1,5.0,7.0,0.417,3.0,6.0,0.333,21.8,25.9,2.81,6.39
Stanford,2006,2,1.0,11.0,0.083,1.0,8.0,0.111,10.6,31.4,-8.73,7.93
Florida,2006,0,13.0,1.0,0.929,7.0,1.0,0.875,29.7,13.5,19.66,6.95
Tennessee,2006,0,9.0,4.0,0.692,5.0,3.0,0.625,27.8,19.5,14.15,6.92
Georgia,2006,1,9.0,4.0,0.692,4.0,4.0,0.5,25.2,17.6,10.21,3.75
Kentucky,2006,1,8.0,5.0,0.615,4.0,4.0,0.5,26.7,28.4,6.65,5.88
South Carolina,2006,1,8.0,5.0,0.615,3.0,5.0,0.375,26.6,18.7,9.67,4.75
Vanderbilt,2006,2,4.0,8.0,0.333,1.0,7.0,0.125,22.0,23.7,1.17,3.67
Arkansas,2006,0,10.0,4.0,0.714,7.0,1.0,0.875,28.9,18.3,13.12,5.05
Auburn,2006,0,11.0,2.0,0.846,6.0,2.0,0.75,24.8,13.9,13.51,3.81
LSU,2006,0,11.0,2.0,0.846,6.0,2.0,0.75,33.7,12.6,18.86,4.78
Alabama,2006,1,6.0,7.0,0.462,2.0,6.0,0.25,22.9,19.2,5.64,4.03
Ole Miss,2006,2,4.0,8.0,0.333,2.0,6.0,0.25,15.7,22.9,-1.74,4.59
Mississippi State,2006,2,3.0,9.0,0.25,1.0,7.0,0.125,18.4,25.8,-2.64,4.86
Troy,2006,1,8.0,5.0,0.615,6.0,1.0,0.857,22.8,22.2,-3.44,-5.97
Middle Tennessee State,2006,1,7.0,6.0,0.538,6.0,1.0,0.857,22.8,23.2,-1.87,-3.25
Arkansas State,2006,1,6.0,6.0,0.5,4.0,3.0,0.571,15.2,24.1,-11.13,-5.88
Florida Atlantic,2006,1,5.0,7.0,0.417,4.0,3.0,0.571,15.1,24.9,-8.67,-4.92
Louisiana,2006,1,6.0,6.0,0.5,3.0,4.0,0.429,20.7,24.7,-7.72,-5.89
Louisiana Monroe,2006,1,4.0,8.0,0.333,3.0,4.0,0.429,21.8,22.3,-6.28,-4.95
North Texas,2006,2,3.0,9.0,0.25,2.0,5.0,0.286,12.8,25.3,-16.06,-6.15
Florida International,2006,2,0.0,12.0,0.0,0.0,7.0,0.0,9.6,26.1,-19.23,-4.39
Boise State,2006,0,13.0,0.0,1.0,8.0,0.0,1.0,39.7,17.6,14.65,-2.58
Hawaii,2006,0,11.0,3.0,0.786,7.0,1.0,0.875,46.9,24.1,10.71,-3.29
San Jose State,2006,1,9.0,4.0,0.692,5.0,3.0,0.625,24.9,20.8,-0.49,-4.95
Nevada,2006,1,8.0,5.0,0.615,5.0,3.0,0.625,30.1,19.2,3.45,-3.7
Fresno State,2006,1,4.0,8.0,0.333,4.0,4.0,0.5,23.0,28.3,-5.76,-0.09
Idaho,2006,2,4.0,8.0,0.333,3.0,5.0,0.375,16.9,34.8,-11.37,-1.71
New Mexico State,2006,2,4.0,8.0,0.333,2.0,6.0,0.25,31.2,30.8,-6.3,-5.55
Louisiana Tech,2006,2,3.0,10.0,0.231,1.0,7.0,0.125,18.6,41.7,-15.4,-1.63
Utah State,2006,2,1.0,11.0,0.083,1.0,7.0,0.125,10.8,38.5,-16.52,1.73
Boston College,2007,0,11.0,3.0,0.786,6.0,2.0,0.75,28.3,20.4,9.75,1.54
Clemson,2007,0,9.0,4.0,0.692,5.0,3.0,0.625,33.1,18.7,11.4,1.71
Wake Forest,2007,0,9.0,4.0,0.692,5.0,3.0,0.625,27.8,22.2,7.07,1.22
Florida State,2007,1,7.0,6.0,0.538,4.0,4.0,0.5,23.3,22.9,5.02,4.33
Maryland,2007,1,6.0,7.0,0.462,3.0,5.0,0.375,24.1,21.5,4.31,3.15
North Carolina State,2007,1,5.0,7.0,0.417,3.0,5.0,0.375,20.8,28.3,-3.13,2.96
Virginia Tech,2007,0,11.0,3.0,0.786,7.0,1.0,0.875,28.7,16.1,14.22,2.86
Virginia,2007,0,9.0,4.0,0.692,6.0,2.0,0.75,24.4,19.7,5.89,1.66
Georgia Tech,2007,1,7.0,6.0,0.538,4.0,4.0,0.5,26.2,20.8,3.94,1.24
North Carolina,2007,2,4.0,8.0,0.333,3.0,5.0,0.375,21.2,24.5,-1.82,2.02
Miami FL,2007,2,5.0,7.0,0.417,2.0,6.0,0.25,20.6,26.0,-1.23,1.6
Duke,2007,2,1.0,11.0,0.083,0.0,8.0,0.0,17.9,33.2,-10.34,3.33
Kansas,2007,0,12.0,1.0,0.923,7.0,1.0,0.875,42.8,16.4,14.45,-1.24
Missouri,2007,0,12.0,2.0,0.857,7.0,1.0,0.875,39.9,23.3,16.77,3.7
Colorado,2007,1,6.0,7.0,0.462,4.0,4.0,0.5,27.3,29.5,2.65,4.11
Kansas State,2007,1,5.0,7.0,0.417,3.0,5.0,0.375,35.2,30.8,3.63,1.97
Nebraska,2007,2,5.0,7.0,0.417,2.0,6.0,0.25,33.4,37.9,1.48,5.89
Iowa State,2007,2,3.0,9.0,0.25,2.0,6.0,0.25,18.2,31.8,-7.21,2.45
Oklahoma,2007,0,11.0,3.0,0.786,6.0,2.0,0.75,42.3,20.3,15.87,2.87
Texas,2007,0,10.0,3.0,0.769,5.0,3.0,0.625,37.2,25.3,10.99,1.91
Texas Tech,2007,1,9.0,4.0,0.692,4.0,4.0,0.5,40.9,25.9,8.28,-0.8
Oklahoma State,2007,1,7.0,6.0,0.538,4.0,4.0,0.5,34.6,29.5,6.67,4.06
Texas A&M,2007,1,7.0,6.0,0.538,4.0,4.0,0.5,27.9,25.9,5.56,3.87
Baylor,2007,2,3.0,9.0,0.25,0.0,8.0,0.0,18.2,37.0,-11.15,2.6
West Virginia,2007,0,11.0,2.0,0.846,5.0,2.0,0.714,39.6,18.1,19.09,3.4
Connecticut,2007,0,9.0,4.0,0.692,5.0,2.0,0.714,26.5,19.0,7.07,0.45
Cincinnati,2007,0,10.0,3.0,0.769,4.0,3.0,0.571,36.3,18.8,13.4,0.48
South Florida,2007,0,9.0,4.0,0.692,4.0,3.0,0.571,34.7,23.4,12.37,4.37
Rutgers,2007,1,8.0,5.0,0.615,3.0,4.0,0.429,32.8,22.5,6.75,0.44
Louisville,2007,1,6.0,6.0,0.5,3.0,4.0,0.429,35.2,31.4,5.02,3.44
Pitt,2007,1,5.0,7.0,0.417,3.0,4.0,0.429,22.8,24.3,1.64,2.81
Syracuse,2007,2,2.0,10.0,0.167,1.0,6.0,0.143,16.4,34.8,-10.72,4.62
Ohio State,2007,0,11.0,2.0,0.846,7.0,1.0,0.875,31.4,12.8,14.84,0.53
Illinois,2007,0,9.0,4.0,0.692,6.0,2.0,0.75,27.8,21.8,8.07,1.76
Michigan,2007,0,9.0,4.0,0.692,6.0,2.0,0.75,27.2,21.4,7.91,2.68
Wisconsin,2007,1,9.0,4.0,0.692,5.0,3.0,0.625,29.5,23.2,5.31,0.08
Penn State,2007,1,9.0,4.0,0.692,4.0,4.0,0.5,30.3,17.5,9.09,0.32
Iowa,2007,1,6.0,6.0,0.5,4.0,4.0,0.5,18.5,18.8,-3.43,-2.1
Purdue,2007,1,8.0,5.0,0.615,3.0,5.0,0.375,34.3,26.5,4.24,-1.69
Indiana,2007,1,7.0,6.0,0.538,3.0,5.0,0.375,31.7,28.5,0.34,-1.43
Michigan State,2007,1,7.0,6.0,0.538,3.0,5.0,0.375,33.1,26.6,6.69,1.69
Northwestern,2007,1,6.0,6.0,0.5,3.0,5.0,0.375,25.8,31.0,-3.7,-1.45
Minnesota,2007,2,1.0,11.0,0.083,0.0,8.0,0.0,26.3,36.7,-11.69,-0.02
UCF,2007,0,10.0,4.0,0.714,7.0,1.0,0.875,35.9,26.6,6.13,-3.3
East Carolina,2007,1,8.0,5.0,0.615,6.0,2.0,0.75,31.0,30.4,1.0,-1.38
Memphis,2007,1,7.0,6.0,0.538,6.0,2.0,0.75,29.2,32.2,-8.4,-7.4
Southern Mississippi,2007,1,7.0,6.0,0.538,5.0,3.0,0.625,27.8,24.2,-2.09,-4.47
Marshall,2007,2,3.0,9.0,0.25,3.0,5.0,0.375,24.8,34.3,-9.93,-1.59
UAB,2007,2,2.0,10.0,0.167,1.0,7.0,0.125,19.6,35.1,-13.98,-2.4
Tulsa,2007,0,10.0,4.0,0.714,6.0,2.0,0.75,41.1,33.4,0.1,-4.62
Houston,2007,1,8.0,5.0,0.615,6.0,2.0,0.75,34.5,29.2,-1.5,-5.27
Tulane,2007,2,4.0,8.0,0.333,3.0,5.0,0.375,24.4,31.3,-13.57,-5.82
Rice,2007,2,3.0,9.0,0.25,3.0,5.0,0.375,31.4,42.9,-14.59,-5.75
UTEP,2007,2,4.0,8.0,0.333,2.0,6.0,0.25,33.6,37.1,-9.3,-4.88
SMU,2007,2,1.0,11.0,0.083,0.0,8.0,0.0,28.3,39.8,-15.44,-4.53
Navy,2007,1,8.0,5.0,0.615,0.0,0.0,0.0,39.3,36.4,-2.9,-5.36
Army,2007,2,3.0,9.0,0.25,0.0,0.0,0.0,16.9,30.3,-13.9,-2.65
Notre Dame,2007,2,3.0,9.0,0.25,0.0,0.0,0.0,16.4,28.8,-5.03,4.89
Bowling Green,2007,1,8.0,5.0,0.615,6.0,2.0,0.75,30.2,32.1,-5.04,-7.04
Miami OH,2007,1,6.0,7.0,0.462,5.0,2.0,0.714,19.2,25.6,-9.28,-5.66
Buffalo,2007,1,5.0,7.0,0.417,5.0,3.0,0.625,24.3,27.6,-9.73,-6.98
Ohio,2007,1,6.0,6.0,0.5,4.0,4.0,0.5,30.5,29.9,-9.09,-8.92
Temple,2007,2,4.0,8.0,0.333,4.0,4.0,0.5,16.4,26.3,-14.76,-7.01
Akron,2007,2,4.0,8.0,0.333,3.0,5.0,0.375,21.2,29.2,-12.52,-5.27
Kent State,2007,2,3.0,9.0,0.25,1.0,7.0,0.125,21.6,29.2,-12.29,-6.88
Central Michigan,2007,1,8.0,6.0,0.571,6.0,1.0,0.857,34.8,36.9,-3.99,-5.92
Ball State,2007,1,7.0,6.0,0.538,5.0,2.0,0.714,31.5,28.3,-2.88,-4.88
Western Michigan,2007,1,5.0,7.0,0.417,3.0,4.0,0.429,26.9,28.9,-7.44,-5.03
Eastern Michigan,2007,2,4.0,8.0,0.333,3.0,4.0,0.429,24.2,31.2,-11.88,-5.55
Toledo,2007,2,5.0,7.0,0.417,3.0,5.0,0.375,32.9,39.2,-11.89,-6.14
Northern Illinois,2007,2,2.0,10.0,0.167,1.0,6.0,0.143,19.1,30.8,-18.11,-8.36
BYU,2007,0,11.0,2.0,0.846,8.0,0.0,1.0,30.1,18.5,11.11,-0.05
Air Force,2007,0,9.0,4.0,0.692,6.0,2.0,0.75,29.9,21.1,5.36,-2.33
New Mexico,2007,1,9.0,4.0,0.692,5.0,3.0,0.625,24.7,19.0,2.49,-2.67
Utah,2007,0,9.0,4.0,0.692,5.0,3.0,0.625,26.2,16.8,7.37,0.53
Texas Christian,2007,1,8.0,5.0,0.615,4.0,4.0,0.5,26.1,18.7,4.45,-1.32
San Diego State,2007,2,4.0,8.0,0.333,3.0,5.0,0.375,25.1,34.4,-6.6,1.98
Wyoming,2007,2,5.0,7.0,0.417,2.0,6.0,0.25,19.4,25.9,-3.51,0.07
Colorado State,2007,2,3.0,9.0,0.25,2.0,6.0,0.25,25.3,30.8,-6.15,0.35
UNLV,2007,2,2.0,10.0,0.167,1.0,7.0,0.125,18.2,28.6,-9.02,0.82
USC,2007,0,11.0,2.0,0.846,7.0,2.0,0.778,32.6,16.0,18.1,4.33
Arizona State,2007,0,10.0,3.0,0.769,7.0,2.0,0.778,32.3,22.5,13.67,5.51
Oregon State,2007,0,9.0,4.0,0.692,6.0,3.0,0.667,27.8,22.6,9.93,6.54
Oregon,2007,0,9.0,4.0,0.692,5.0,4.0,0.556,38.2,23.6,17.82,6.97
UCLA,2007,1,6.0,7.0,0.462,5.0,4.0,0.556,22.4,22.3,7.97,7.97
Arizona,2007,1,5.0,7.0,0.417,4.0,5.0,0.444,28.0,26.8,6.04,6.46
California,2007,1,7.0,6.0,0.538,3.0,6.0,0.333,29.3,26.8,8.46,6.23
Washington State,2007,1,5.0,7.0,0.417,3.0,6.0,0.333,25.7,32.4,1.66,5.58
Stanford,2007,2,4.0,8.0,0.333,3.0,6.0,0.333,19.6,28.3,-1.1,6.57
Washington,2007,2,4.0,9.0,0.308,2.0,7.0,0.222,29.2,31.6,4.41,7.64
Georgia,2007,0,11.0,2.0,0.846,6.0,2.0,0.75,32.6,20.2,17.2,5.66
Tennessee,2007,0,10.0,4.0,0.714,6.0,2.0,0.75,32.5,27.3,11.68,6.11
Florida,2007,0,9.0,4.0,0.692,5.0,3.0,0.625,42.5,25.5,18.06,6.83
Kentucky,2007,1,8.0,5.0,0.615,3.0,5.0,0.375,36.5,29.6,9.43,5.2
South Carolina,2007,1,6.0,6.0,0.5,3.0,5.0,0.375,26.1,23.5,7.15,5.9
Vanderbilt,2007,1,5.0,7.0,0.417,2.0,6.0,0.25,21.7,22.6,3.09,4.25
LSU,2007,0,12.0,2.0,0.857,6.0,2.0,0.75,38.6,19.9,18.41,5.77
Auburn,2007,0,9.0,4.0,0.692,5.0,3.0,0.625,24.2,16.9,11.87,5.79
Arkansas,2007,1,8.0,5.0,0.615,4.0,4.0,0.5,37.3,26.5,8.91,3.37
Mississippi State,2007,1,8.0,5.0,0.615,4.0,4.0,0.5,21.5,23.2,4.84,4.22
Alabama,2007,1,7.0,6.0,0.538,4.0,4.0,0.5,27.1,22.0,8.09,4.4
Ole Miss,2007,2,3.0,9.0,0.25,0.0,8.0,0.0,20.1,28.5,-1.31,6.11
Troy,2007,0,8.0,4.0,0.667,6.0,1.0,0.857,34.0,24.6,5.58,-1.76
Florida Atlantic,2007,1,8.0,5.0,0.615,6.0,1.0,0.857,31.2,33.2,-2.43,-2.51
Louisiana Monroe,2007,1,6.0,6.0,0.5,4.0,3.0,0.571,23.5,27.7,-6.64,-3.89
Middle Tennessee State,2007,1,5.0,7.0,0.417,4.0,3.0,0.571,25.7,28.3,-4.95,-3.37
Arkansas State,2007,1,5.0,7.0,0.417,3.0,4.0,0.429,24.3,27.6,-7.98,-4.73
Louisiana,2007,2,3.0,9.0,0.25,3.0,4.0,0.429,23.8,35.8,-13.36,-4.11
North Texas,2007,2,2.0,10.0,0.167,1.0,6.0,0.143,24.8,45.1,-15.84,-3.67
Florida International,2007,2,1.0,11.0,0.083,1.0,6.0,0.143,15.1,39.1,-15.84,-0.84
Hawaii,2007,0,12.0,1.0,0.923,8.0,0.0,1.0,43.4,25.5,6.36,-5.79
Boise State,2007,0,10.0,3.0,0.769,7.0,1.0,0.875,42.4,21.6,6.31,-5.46
Fresno State,2007,0,9.0,4.0,0.692,6.0,2.0,0.75,32.8,27.0,2.75,-2.79
Nevada,2007,1,6.0,7.0,0.462,4.0,4.0,0.5,33.5,32.2,-5.09,-5.24
Louisiana Tech,2007,1,5.0,7.0,0.417,4.0,4.0,0.5,20.8,30.7,-8.45,-2.54
San Jose State,2007,1,5.0,7.0,0.417,4.0,4.0,0.5,20.4,29.3,-8.64,-3.3
Utah State,2007,2,2.0,10.0,0.167,2.0,6.0,0.25,20.6,33.8,-11.29,-2.12
New Mexico State,2007,2,4.0,9.0,0.308,1.0,7.0,0.125,24.0,36.2,-12.32,-4.93
Idaho,2007,2,1.0,11.0,0.083,0.0,8.0,0.0,21.5,36.9,-17.06,-3.81
Florida State,2008,0,9.0,4.0,0.692,5.0,3.0,0.625,33.4,20.2,10.67,2.67
Boston College,2008,1,9.0,5.0,0.643,5.0,3.0,0.625,24.7,18.4,6.72,2.15
Maryland,2008,1,8.0,5.0,0.615,4.0,4.0,0.5,21.8,22.5,2.96,1.73
Wake Forest,2008,1,8.0,5.0,0.615,4.0,4.0,0.5,21.0,18.3,7.45,4.68
Clemson,2008,1,7.0,6.0,0.538,4.0,4.0,0.5,25.2,17.3,6.97,2.51
North Carolina State,2008,1,6.0,7.0,0.462,4.0,4.0,0.5,23.5,26.3,1.41,3.57
Virginia Tech,2008,0,10.0,4.0,0.714,5.0,3.0,0.625,22.1,16.7,8.14,2.43
Georgia Tech,2008,1,9.0,4.0,0.692,5.0,3.0,0.625,24.4,20.3,6.78,1.7
North Carolina,2008,1,8.0,5.0,0.615,4.0,4.0,0.5,27.7,21.2,7.9,2.67
Miami FL,2008,1,7.0,6.0,0.538,4.0,4.0,0.5,27.1,24.2,4.85,3.62
Virginia,2008,1,5.0,7.0,0.417,3.0,5.0,0.375,16.1,21.7,1.4,4.57
Duke,2008,2,4.0,8.0,0.333,1.0,7.0,0.125,20.1,23.4,-0.39,3.28
Missouri,2008,0,10.0,4.0,0.714,5.0,3.0,0.625,42.2,27.2,13.11,4.54
Nebraska,2008,0,9.0,4.0,0.692,5.0,3.0,0.625,35.4,28.5,10.92,3.69
Kansas,2008,1,8.0,5.0,0.615,4.0,4.0,0.5,33.4,28.8,9.23,4.0
Colorado,2008,2,5.0,7.0,0.417,2.0,6.0,0.25,20.2,29.3,-1.07,4.1
Kansas State,2008,2,5.0,7.0,0.417,2.0,6.0,0.25,34.9,35.8,-3.39,0.78
Iowa State,2008,2,2.0,10.0,0.167,0.0,8.0,0.0,25.3,35.8,-7.8,1.11
Oklahoma,2008,0,12.0,2.0,0.857,7.0,1.0,0.875,51.1,24.5,24.79,6.72
Texas,2008,0,12.0,1.0,0.923,7.0,1.0,0.875,42.4,18.8,23.98,6.05
Texas Tech,2008,0,11.0,2.0,0.846,7.0,1.0,0.875,43.8,27.8,15.46,3.0
Oklahoma State,2008,0,9.0,4.0,0.692,5.0,3.0,0.625,40.8,28.1,13.09,3.78
Baylor,2008,2,4.0,8.0,0.333,2.0,6.0,0.25,28.0,29.3,2.59,5.68
Texas A&M,2008,2,4.0,8.0,0.333,2.0,6.0,0.25,25.0,37.4,-5.38,4.12
Cincinnati,2008,0,11.0,3.0,0.786,6.0,1.0,0.857,25.9,20.1,6.03,-0.19
Pitt,2008,0,9.0,4.0,0.692,5.0,2.0,0.714,27.1,21.5,8.87,3.17
West Virginia,2008,0,9.0,4.0,0.692,5.0,2.0,0.714,24.5,17.0,7.09,0.09
Rutgers,2008,0,8.0,5.0,0.615,5.0,2.0,0.714,29.0,18.8,6.35,-0.26
Connecticut,2008,1,8.0,5.0,0.615,3.0,4.0,0.429,24.9,19.8,4.67,0.75
South Florida,2008,1,8.0,5.0,0.615,2.0,5.0,0.286,27.6,20.0,4.45,-0.62
